haskell-byteable 0.1.1-22
haskell-case-insensitive 1.2.1.0-70
haskell-cereal 0.5.8.1-9
haskell-citeproc 0.3.0.4-2
haskell-cmdargs 0.10.20-16
haskell-colour 2.3.5-136
haskell-commonmark 0.1.1.4-3
haskell-commonmark-extensions 0.2.0.4-34
haskell-commonmark-pandoc 0.2.0.1-71
haskell-comonad 5.0.8-42
haskell-conduit 1.3.4-37
haskell-conduit-extra 1.3.5-105
haskell-connection 0.3.1-100
haskell-cookie 0.4.5-9
haskell-cryptonite 0.28-10
haskell-data-default 0.7.1.1-118
haskell-data-default-class 0.1.2.0-21
haskell-data-default-instances-containers 0.0.1-33
haskell-data-default-instances-dlist 0.0.1-131
haskell-data-default-instances-old-locale 0.0.1-33
haskell-data-fix 0.3.1-6
haskell-digest 0.0.1.2-22
haskell-distributive 0.6.2.1-43
haskell-dlist 1.0-54
haskell-doclayout 0.3-77
haskell-doctemplates 0.9-20
haskell-emojis 0.1-78
haskell-erf 2.0.0.0-21
haskell-errors 2.3.0-59
haskell-file-embed 0.0.13.0-3
haskell-glob 0.10.1-59
haskell-haddock-library 1.9.0-103
haskell-hashable 1.3.0.0-95
haskell-hourglass 0.2.12-113
haskell-hslua 1.3.0.1-4
haskell-hslua-module-system 0.2.2.1-59
haskell-hslua-module-text 0.3.0.1-47
haskell-hsyaml 0.2.1.0-83
haskell-http 4000.3.15-103
haskell-http-client 0.7.5-11
haskell-http-client-tls 0.3.5.3-386
haskell-http-types 0.12.3-135
haskell-hxt 9.3.1.21-7
haskell-hxt-charproperties 9.4.0.0-9
haskell-hxt-regex-xmlschema 9.2.0.7-1
haskell-hxt-unicode 9.0.2.4-21
haskell-indexed-traversable 0.1.1-3
haskell-integer-logarithms 1.0.3.1-3
haskell-ipynb 0.1.0.1-169
haskell-jira-wiki-markup 1.3.2-58
haskell-juicypixels 3.3.5-68
haskell-memory 0.15.0-80
haskell-mime-types 0.1.0.9-11
haskell-mono-traversable 1.0.15.1-108
haskell-network 3.1.2.1-32
haskell-network-uri 2.6.4.0-2
haskell-old-locale 1.0.0.7-27
haskell-old-time 1.1.0.3-27
haskell-pandoc-types 1.22-53
haskell-pem 0.2.4-145
haskell-primitive 0.7.1.0-90
haskell-quickcheck 2.14.2-102
haskell-random 1.2.0-152
haskell-resourcet 1.2.4.2-62
haskell-safe 0.3.19-5
haskell-scientific 0.3.6.2-84
haskell-sha 1.6.4.4-16
haskell-skylighting 0.10.2-25
haskell-skylighting-core 0.10.2-25
haskell-socks 0.6.1-90
haskell-split 0.2.3.4-112
haskell-splitmix 0.1.0.3-66
haskell-streaming-commons 0.2.2.1-59
haskell-strict 0.4.0.1-32
haskell-syb 0.7.2.1-16
haskell-tagged 0.8.6.1-2
haskell-tagsoup 0.14.8-93
haskell-temporary 1.3-208
haskell-texmath 0.12.1.1-6
haskell-text-conversions 0.3.1-48
